n_hid,inp_scaling,rho,leaky,regul,lag,bias_scaling,solver,washout,n_layers,NRMSE_mean,NRMSE_std
64,0.8,0.8,0.01,0.001,1,,,200,1,11.80536937713623,0.0
64,0.9,0.8,0.01,0.001,1,,,200,1,12.660507202148438,0.0
64,1.0,0.8,0.01,0.001,1,,,200,1,8.163114547729492,0.0
100,0.1,0.8,0.01,0.001,1,,,200,1,66.52120971679688,0.0
100,0.2,0.8,0.01,0.001,1,,,200,1,40.895355224609375,0.0
100,0.3,0.8,0.01,0.001,1,,,200,1,27.43769645690918,0.0
100,0.4,0.8,0.01,0.001,1,,,200,1,21.412372589111328,0.0
100,0.5,0.8,0.01,0.001,1,,,200,1,20.85492706298828,0.0
100,0.6,0.8,0.01,0.001,1,,,200,1,19.7899112701416,0.0
100,0.7,0.8,0.01,0.001,1,,,200,1,9.91030979156494,0.0
100,0.8,0.8,0.01,0.001,1,,,200,1,14.647615432739258,0.0
100,0.9,0.8,0.01,0.001,1,,,200,1,3.864853382110596,0.0
100,1.0,0.8,0.01,0.001,1,,,200,1,15.57034397125244,0.0
128,0.1,0.8,0.01,0.001,1,,,200,1,245.28660583496097,0.0
128,0.2,0.8,0.01,0.001,1,,,200,1,30.849411010742188,0.0
128,0.3,0.8,0.01,0.001,1,,,200,1,27.169227600097656,0.0
128,0.4,0.8,0.01,0.001,1,,,200,1,22.38163375854492,0.0
128,0.5,0.8,0.01,0.001,1,,,200,1,16.469913482666016,0.0
128,0.6,0.8,0.01,0.001,1,,,200,1,16.365264892578125,0.0
128,0.7,0.8,0.01,0.001,1,,,200,1,22.44137382507324,0.0
128,0.8,0.8,0.01,0.001,1,,,200,1,18.166894912719727,0.0
128,0.9,0.8,0.01,0.001,1,,,200,1,12.29967975616455,0.0
128,1.0,0.8,0.01,0.001,1,,,200,1,14.397602081298828,0.0
150,0.1,0.8,0.01,0.001,1,,,200,1,139.54202270507812,0.0
150,0.2,0.8,0.01,0.001,1,,,200,1,46.31269836425781,0.0
